id,review_text_clean
1,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
2,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
3,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
4,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche."
5,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
6,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
7,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
8,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal."
9,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
10,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible."
11,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche."
12,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
13,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible."
14,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal."
15,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal."
16,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
17,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
18,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal."
19,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
20,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
21,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
22,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible."
23,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
24,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche."
25,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
26,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
27,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal."
28,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
29,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
30,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
31,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
32,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible."
33,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
34,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
35,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
36,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible."
37,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
38,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche."
39,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal."
40,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
