id,review_text_clean,prevision,probabilidad,probabilidad_ml_puro,nota
1,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.402,0.777,G68: Prioridad de queja detectada
2,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Negativo,0.4116,0.0266,G68: Prioridad de queja detectada
3,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0846,0.0846,G68: Prioridad de queja detectada
4,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche.",Positivo,0.8036,0.7936,G68: Satisfaccion validada por encima del sesgo
5,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.2679,0.2679,G68: Prioridad de queja detectada
6,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0026,0.0026,G68: Prioridad de queja detectada
7,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0272,0.0272,G68: Prioridad de queja detectada
8,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,0.8286,0.8286,G68: Satisfaccion validada por encima del sesgo
9,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.3301,0.7051,G68: Prioridad de queja detectada
10,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible.",Negativo,0.0032,0.0032,G68: Prioridad de queja detectada
11,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche.",Positivo,0.8732,0.8632,G68: Satisfaccion validada por encima del sesgo
12,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Positivo,0.8494,0.8494,G68: Satisfaccion validada por encima del sesgo
13,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible.",Positivo,1.0,0.7211,G68: Satisfaccion validada por encima del sesgo
14,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal.",Positivo,1.0,0.9012,G68: Satisfaccion validada por encima del sesgo
15,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal.",Negativo,0.0789,0.0789,G68: Prioridad de queja detectada
16,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.2682,0.6432,G68: Prioridad de queja detectada
17,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Positivo,0.8494,0.8494,G68: Satisfaccion validada por encima del sesgo
18,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,1.0,0.8157,G68: Satisfaccion validada por encima del sesgo
19,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.3301,0.7051,G68: Prioridad de queja detectada
20,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.2038,G68: Prioridad de queja detectada
21,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.3733,0.3733,G68: Prioridad de queja detectada
22,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible.",Neutro,0.5129,0.1279,G68: Experiencia mixta o ambigua
23,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.0154,0.3904,G68: Prioridad de queja detectada
24,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche.",Neutro,0.4959,0.4859,G68: Experiencia mixta o ambigua
25,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.3363,G68: Prioridad de queja detectada
26,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0846,0.0846,G68: Prioridad de queja detectada
27,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal.",Neutro,0.5203,0.5203,G68: Experiencia mixta o ambigua
